nm,R
230,0.3205956
240,0.1279264
250,0.1680748
260,0.2480127
270,0.3342666
280,0.3933633
300,0.2160199
310,0.2139887
320,0.3695072
330,0.6633795
340,0.8317188
350,0.8481982
360,0.833016
370,0.8165155
380,0.8219792
390,0.8545037
400,0.8871807
410,0.9125043
420,0.9309852
430,0.9434188
440,0.9512392
450,0.9573861
460,0.9607818
470,0.9627313
480,0.9643713
490,0.9652764
500,0.9655209
510,0.9650419
520,0.9642279
530,0.9637185
540,0.9633421
550,0.9634123
560,0.9621805
570,0.9607214
580,0.95904
590,0.9585272
600,0.9575384
610,0.9573035
620,0.9572144
630,0.957127
640,0.9571157
650,0.9572349
660,0.9568295
670,0.9566181
680,0.9558834
690,0.9557215
700,0.9539356
710,0.9520549
720,0.9509069
730,0.9514138
740,0.9517128
750,0.9526094
760,0.9530012
770,0.9534554
780,0.9539596
790,0.9547471
800,0.9553123
810,0.9578107
820,0.9594608
830,0.9596554
840,0.9597104
850,0.9611861
860,0.9631097
870,0.9634213
880,0.9646647
890,0.9651111
900,0.9660538
910,0.9663673
920,0.9665579
930,0.967137
940,0.9678773
950,0.9684723
960,0.9688112
970,0.9690266
980,0.9693297
990,0.9697016
1000,0.9701422
1010,0.9705934
1020,0.9709801
1030,0.9715207
1040,0.9720977
1050,0.9724538
1060,0.9726743
1070,0.9729012
1080,0.9733862
1090,0.9737035
1100,0.9740065
1110,0.9743418
1120,0.9745601
1130,0.9749647
1140,0.9753817
1150,0.9756533
1160,0.975786
1170,0.9760988
1180,0.9763232
1190,0.9764257
1200,0.9768021
1210,0.9770709
1220,0.9770758
1230,0.9775507
1240,0.9779703
1250,0.9780677
1260,0.9783409
1270,0.9786271
1280,0.9788515
1290,0.9791034
1300,0.9791726
1310,0.979272
1320,0.979599
1330,0.9797902
1340,0.9796649
1350,0.9798208
1360,0.9798515
1370,0.9801334
1380,0.9804948
1390,0.9806116
1400,0.980691
1410,0.9808687
1420,0.9809829
1430,0.9811657
1440,0.9811229
1450,0.9813352
1460,0.9816698
1470,0.9817837
1480,0.9820194
1490,0.9819862
1500,0.9817338
1510,0.9818355
1520,0.9819344
1530,0.9819331
1540,0.9821376
1550,0.9821452
1560,0.9819184
1570,0.9818979
1580,0.9821208
1590,0.9821166
1600,0.9823722
1610,0.9827239
1620,0.9829176
1630,0.9829956
1640,0.9831581
1650,0.9831914
1660,0.9834766
1670,0.9834928
1680,0.9835663
1690,0.9838561
1700,0.9837451
1710,0.9839212
1720,0.9839579
1730,0.9835314
1740,0.9836053
1750,0.9833332
1760,0.9832271
1770,0.9831282
1780,0.9834846
1790,0.9834118
1800,0.9831576
1810,0.9833046
1820,0.9832699
1830,0.9834221
1840,0.9833144
1850,0.9833888
1860,0.9839184
1870,0.9838167
1880,0.9841867
1890,0.9842162
1900,0.9842724
1910,0.9845394
1920,0.9848641
1930,0.9850565
1940,0.9851619
1950,0.985328
1960,0.9849712
1970,0.9851597
1980,0.985152
1990,0.9855771
2000,0.9853192
2010,0.9855147
2020,0.9854165
2030,0.9858507
2040,0.9849855
2050,0.9847861
2060,0.9848048
2070,0.9847655
2080,0.984452
2090,0.9843077
2100,0.9842801
2110,0.9840172
2120,0.9839905
2130,0.9837327
2140,0.9835844
2150,0.9833982
2160,0.9842947
2170,0.9842142
2180,0.9840447
2190,0.9844215
2200,0.9837181
2210,0.9843821
2220,0.9840268
2230,0.9834804
2240,0.9833822
2250,0.9845523
2260,0.984846
2270,0.9849701
2280,0.9843358
2290,0.9840782
2300,0.9849192
2310,0.98571
2320,0.9843042
2330,0.9845456
2340,0.9845347
2350,0.9846225
2360,0.9853161
2370,0.9842774
2380,0.9848028
2390,0.98379
2400,0.9839566
2410,0.9850038
2420,0.983561
2430,0.9841117
2440,0.9845449
2450,0.9831859
2460,0.9845216
2470,0.9820266
2480,0.9867474
2490,0.9843298
2500,0.9851074
2510,0.9850345
2520,0.9847551
2530,0.9833077
2540,0.9853713
2550,0.983672
2560,0.9837758
2570,0.983705
2580,0.9834861
2590,0.9832834
2600,0.9839774
2609.79,0.9854432
2619.73,0.9857427
2629.66,0.9855443
2639.59,0.9858479
2649.52,0.9856535
2659.71,0.9854557
2669.63,0.9857652
2679.54,0.9855765
2689.73,0.9853844
2699.63,0.9856993
2709.53,0.9855159
2719.7,0.9858293
2729.59,0.9856493
2739.48,0.985971
2749.63,0.9857895
