nm,T
200,0.7390371
201,0.7418118
202,0.7447189
203,0.7468435
204,0.7490527
205,0.7507211
206,0.7517048
207,0.7526649
208,0.7537065
209,0.7541704
210,0.7551437
211,0.7555197
212,0.7559694
213,0.7568297
214,0.7576485
215,0.7582274
216,0.7597829
217,0.7609634
218,0.7625661
219,0.7646416
220,0.7670877
221,0.7690806
222,0.7718733
223,0.7747236
224,0.7775409
225,0.780764
226,0.78371
227,0.7862019
228,0.7894685
229,0.7923318
230,0.794871
231,0.7978587
232,0.8002189
233,0.8022434
234,0.805179
235,0.8071904
236,0.8091012
237,0.8114426
238,0.8129211
239,0.814108
240,0.8162392
241,0.8177156
242,0.8188973
243,0.8206642
244,0.8219614
245,0.8225387
246,0.8239988
247,0.8251385
248,0.8256736
249,0.8270369
250,0.828069
251,0.8281988
252,0.8295024
253,0.8300655
254,0.8305089
255,0.8313658
256,0.8321583
257,0.8322643
258,0.8330244
259,0.8335025
260,0.83384
261,0.8345866
262,0.8352003
263,0.8351216
264,0.8358792
265,0.836734
266,0.8365404
267,0.8373248
268,0.8374703
269,0.8374333
270,0.8378429
271,0.8387626
272,0.838662
273,0.8394169
274,0.8395227
275,0.8394271
276,0.8404023
277,0.8403971
278,0.8407641
279,0.8410425
280,0.8414766
281,0.8410126
282,0.8420361
283,0.8420922
284,0.8420676
285,0.8423423
286,0.8423365
287,0.8422662
288,0.8433304
289,0.843154
290,0.8431576
291,0.8439665
292,0.8439893
293,0.8433732
294,0.8442395
295,0.8440278
296,0.8442404
297,0.8442889
298,0.8448144
299,0.8444651
300,0.8449437
301,0.8449458
302,0.8454175
303,0.8454502
304,0.8461538
305,0.8459418
306,0.846071
307,0.8460586
308,0.8461114
309,0.8465266
310,0.846831
311,0.8463357
312,0.8469969
313,0.8471526
314,0.8470557
315,0.8475466
316,0.8474602
317,0.847188
318,0.8477448
319,0.8475564
320,0.8472709
321,0.8475773
322,0.8475586
323,0.8474145
324,0.8477899
325,0.8475771
326,0.8477399
327,0.8478391
328,0.8481103
329,0.8477887
330,0.8485535
331,0.8484568
332,0.848245
333,0.8484886
334,0.8485715
335,0.848203
336,0.8483473
337,0.8484453
338,0.8486056
339,0.8486981
340,0.8487885
341,0.8482662
342,0.8487115
343,0.8486678
344,0.8483043
345,0.8487916
346,0.8485983
347,0.8483335
348,0.8486667
349,0.8486412
350,0.8483585
351,0.8485352
352,0.8484161
353,0.8480904
354,0.8487679
355,0.8485838
356,0.8484588
357,0.8486772
358,0.8485472
359,0.8481732
360,0.8485955
361,0.8485433
362,0.8482393
363,0.8486477
364,0.8486149
365,0.8480985
366,0.848431
367,0.8484616
368,0.8486143
369,0.849008
370,0.8484887
371,0.8483277
372,0.8487989
373,0.8485906
374,0.8486964
375,0.8488519
376,0.8487234
377,0.8487321
378,0.849123
379,0.8496185
380,0.8495015
381,0.8492311
382,0.849679
383,0.8498001
384,0.8498364
385,0.8502933
386,0.8499398
387,0.8499586
388,0.8502918
389,0.8504818
390,0.8505117
391,0.850646
392,0.8504488
393,0.850662
394,0.8513344
395,0.8511979
396,0.851324
397,0.8516168
398,0.8517682
399,0.8515914
400,0.8521169
401,0.8520937
402,0.8522964
403,0.8529087
404,0.8527144
405,0.8527047
406,0.853152
407,0.8533317
408,0.8534169
409,0.8538158
410,0.8534934
411,0.8536433
412,0.8540925
413,0.8540709
414,0.854133
415,0.8545875
416,0.8544527
417,0.8544045
418,0.8549108
419,0.8550302
420,0.8550298
421,0.8554987
422,0.8551453
423,0.8552304
424,0.855321
425,0.8555812
426,0.855689
427,0.8560976
428,0.8558716
429,0.8558017
430,0.8562984
431,0.8563058
432,0.8565144
433,0.8566532
434,0.8564992
435,0.8564835
436,0.8567771
437,0.856658
438,0.8568522
439,0.8571585
440,0.8569078
441,0.8568917
442,0.8573213
443,0.8572402
444,0.8571598
445,0.8575811
446,0.8573206
447,0.8572858
448,0.8577233
449,0.857618
450,0.8575728
451,0.857869
452,0.8576398
453,0.8575707
454,0.8579554
455,0.8578738
456,0.8579465
457,0.8581562
458,0.8579608
459,0.8580205
460,0.8582338
461,0.8582148
462,0.8583551
463,0.8585381
464,0.8582967
465,0.8583354
466,0.8585396
467,0.8582604
468,0.8583651
469,0.8586962
470,0.8584027
471,0.8583764
472,0.8587178
473,0.8587237
474,0.8587754
475,0.8590574
476,0.8588366
477,0.8587284
478,0.8590751
479,0.8589765
480,0.8590552
481,0.8592916
482,0.8589668
483,0.8589007
484,0.8592422
485,0.8592363
486,0.8592581
487,0.859128
488,0.8589357
489,0.8590353
490,0.8593949
491,0.8592775
492,0.8593911
493,0.8597342
494,0.8594467
495,0.8593988
496,0.8595981
497,0.859405
498,0.859624
499,0.8597488
500,0.8594094
501,0.8593833
502,0.8596567
503,0.859578
504,0.8598666
505,0.8596895
506,0.8592634
507,0.8596967
508,0.8598666
509,0.8596532
510,0.8598798
511,0.8600392
512,0.8597887
513,0.85982
514,0.85994
515,0.8599405
516,0.8601479
517,0.8601116
518,0.8598585
519,0.8600721
520,0.8603481
521,0.8601111
522,0.8603564
523,0.8604151
524,0.8601205
525,0.8602292
526,0.8604887
527,0.8603734
528,0.8604889
529,0.8605654
530,0.8602849
531,0.860523
532,0.8606613
533,0.8605393
534,0.8606702
535,0.8607998
536,0.8604878
537,0.8606746
538,0.8607351
539,0.8606148
540,0.8608796
541,0.8610378
542,0.8604115
543,0.860788
544,0.8608502
545,0.8607037
546,0.8609619
547,0.8612096
548,0.860634
549,0.8608394
550,0.8610045
551,0.8607281
552,0.861214
553,0.8612476
554,0.8607552
555,0.8608162
556,0.8610792
557,0.8610452
558,0.8613001
559,0.8611895
560,0.8609174
561,0.8609616
562,0.8608169
563,0.8611433
564,0.8614461
565,0.8611713
566,0.8613665
567,0.8613024
568,0.8607994
569,0.8612574
570,0.8614326
571,0.8612558
572,0.8612155
573,0.8611827
574,0.8607777
575,0.8612659
