nm,R
350,0.4725492
360,0.8136537
370,0.9279789
380,0.9519368
390,0.9559342
400,0.9569456
410,0.9580474
420,0.9585333
430,0.9596318
440,0.9609087
450,0.9647879
460,0.970925
470,0.9758958
480,0.978139
490,0.9784624
500,0.9786516
510,0.9773736
520,0.9760194
530,0.9741424
540,0.9720736
550,0.9689902
560,0.9662766
570,0.9629767
580,0.9599789
590,0.9581166
600,0.9573385
610,0.9577855
620,0.959948
630,0.9624107
640,0.965128
650,0.9674629
660,0.9702431
670,0.9721084
680,0.9740211
690,0.9754714
700,0.976914
710,0.9777629
720,0.9787195
730,0.9794031
740,0.9804766
750,0.9812633
760,0.9814156
770,0.9819912
780,0.9822209
790,0.9827613
800,0.9830511
810,0.983178
820,0.9834468
830,0.983548
840,0.9837939
850,0.98354
860,0.9838661
870,0.984503
880,0.9849039
890,0.9835817
900,0.9836933
910,0.9843189
920,0.9834256
930,0.9832362
940,0.9832398
950,0.9826347
960,0.9827149
970,0.9826216
980,0.9824268
990,0.9819235
1000,0.9817317
1010,0.9819258
1020,0.9816829
1030,0.981526
1040,0.9815704
1050,0.9812869
1060,0.9809951
1070,0.9806535
1080,0.9804076
1090,0.9802442
1100,0.979836
1110,0.9802594
1120,0.9800969
1130,0.979457
1140,0.9794496
1150,0.9795262
1160,0.979096
1170,0.9787296
1180,0.9786092
1190,0.9786164
1200,0.977658
1210,0.9772644
1220,0.9771242
1230,0.9765793
1240,0.9765883
1250,0.9763138
1260,0.9763444
1270,0.9760412
1280,0.9757046
1290,0.9752484
1300,0.9750892
1310,0.9747703
1320,0.9744102
1330,0.9737884
1340,0.973674
1350,0.9734256
1360,0.9730325
1370,0.9724493
1380,0.9723079
1390,0.9720427
1400,0.9721742
1410,0.971082
1420,0.9708175
1430,0.9711641
1440,0.9710146
1450,0.970451
1460,0.9698151
1470,0.9696668
1480,0.9689229
1490,0.9688855
1500,0.9688684
1510,0.9686502
1520,0.9683839
1530,0.9679358
1540,0.9678112
1550,0.9675467
1560,0.9669447
1570,0.9669093
1580,0.9665531
1590,0.9666493
1600,0.9663469
1610,0.9666383
1620,0.9667599
1630,0.966927
1640,0.9667167
1650,0.9670087
1660,0.9673709
1670,0.9676169
1680,0.9672419
1690,0.96763
1700,0.9681468
1710,0.9673566
1720,0.9670616
1730,0.967362
1740,0.9669616
1750,0.9663241
1760,0.9667876
1770,0.9672239
1780,0.9663945
1790,0.9669399
1800,0.9668693
1810,0.9671364
1820,0.9670393
1830,0.9677498
1840,0.967849
1850,0.9676414
1860,0.9680853
1870,0.9680743
1880,0.9692372
1890,0.9690172
1900,0.9697806
1910,0.9700941
1920,0.9708767
1930,0.9711424
1940,0.9711534
1950,0.9711495
1960,0.9712472
1970,0.971689
1980,0.9717766
1990,0.9720361
1999.79,0.9751515
2000,0.9721012
2007.51,0.9724317
2015.24,0.9724247
2022.96,0.9727212
2030.68,0.9729222
2038.4,0.9727522
2046.12,0.9731057
2053.84,0.9732177
2061.56,0.9733257
2069.28,0.9736252
2077.01,0.9738767
2084.73,0.9739382
2092.45,0.9742032
2100.17,0.9742437
2107.89,0.9742717
2115.61,0.9744312
2123.33,0.9744817
2131.05,0.9745697
2138.78,0.9745597
2146.5,0.9749967
2154.22,0.9750432
2161.94,0.9752807
2169.66,0.9754422
2177.38,0.9756227
2185.1,0.9758462
2192.82,0.9758512
2200.55,0.9759627
2208.27,0.9761467
2215.99,0.9763437
2223.71,0.9765742
2231.43,0.9764527
2239.15,0.9765112
2246.87,0.9767062
2254.59,0.9769157
2262.31,0.9769802
2270.04,0.9770332
2277.76,0.9771772
2285.48,0.9773212
2293.2,0.9774652
2300.92,0.9774772
2308.64,0.9772277
2316.36,0.9775762
2324.08,0.9778332
2331.81,0.9778572
2339.53,0.9779632
2347.25,0.9782052
2354.97,0.9783057
2362.69,0.9785292
2370.41,0.9784272
2378.13,0.9784727
2385.85,0.9786807
2393.58,0.9787907
2401.3,0.9788767
2409.02,0.9790207
2416.74,0.9791532
2424.46,0.9792272
2432.18,0.9792207
2439.9,0.9792102
2447.62,0.9792782
2455.35,0.9795652
2463.07,0.9795622
2470.79,0.9795512
2478.51,0.9797577
2486.23,0.9797317
2493.95,0.9797017
2501.67,0.9798527
2509.39,0.9799542
2517.11,0.9799132
2524.84,0.9799177
2532.56,0.9799847
2540.28,0.9802657
2548,0.9800177
2555.72,0.9798922
2563.44,0.9792492
2571.16,0.9799467
2578.88,0.9798302
2586.61,0.9795222
2594.33,0.9808957
2602.05,0.9807257
2609.77,0.9797017
2617.49,0.9800562
2625.21,0.9811837
2632.93,0.9798102
2640.65,0.9810452
2648.38,0.9805107
2656.1,0.9805827
2663.82,0.9810042
2671.54,0.9796742
2679.26,0.9804507
2686.98,0.9815287
2694.7,0.9810317
2702.42,0.9814362
2710.15,0.9808337
2717.87,0.9810527
2725.59,0.9791047
2733.31,0.9807027
2741.03,0.9786337
2748.75,0.9807102
2756.47,0.9799557
2764.19,0.9801287
2771.91,0.9800837
2779.64,0.9808517
2787.36,0.9804837
2795.08,0.9806577
2802.8,0.9807377
2810.52,0.9808497
2818.24,0.9809257
2825.96,0.9810057
2833.68,0.9810752
2841.41,0.9809702
2849.13,0.9812352
2856.85,0.9812072
2864.57,0.9815992
2872.29,0.9817507
