nm,T
2600,0.68898863
2599,0.68944185
2598,0.69010634
2597,0.69036807
2596,0.69073004
2595,0.69112297
2594,0.69169748
2593,0.69196386
2592,0.69237892
2591,0.69242971
2590,0.69297189
2589,0.69357568
2588,0.69409394
2587,0.69429059
2586,0.69495537
2585,0.69519639
2584,0.69544878
2583,0.69555675
2582,0.69567226
2581,0.69653827
2580,0.69713394
2579,0.69743468
2578,0.69776723
2577,0.69790772
2576,0.69797042
2575,0.69844355
2574,0.69910974
2573,0.69914761
2572,0.69949306
2571,0.69978001
2570,0.70027992
2569,0.70069428
2568,0.70087872
2567,0.7011982
2566,0.70129101
2565,0.70155284
2564,0.70170755
2563,0.70210005
2562,0.70257661
2561,0.70281329
2560,0.7029769
2559,0.70320407
2558,0.70336256
2557,0.70367155
2556,0.70431737
2555,0.70452098
2554,0.70492447
2553,0.70539721
2552,0.70571538
2551,0.70587491
2550,0.70599067
2549,0.70648415
2548,0.70657
2547,0.70681298
2546,0.70692016
2545,0.70735199
2544,0.70754285
2543,0.70806659
2542,0.70833125
2541,0.7085968
2540,0.70889993
2539,0.70928388
2538,0.70946326
2537,0.70983653
2536,0.70986404
2535,0.70995639
2534,0.71012215
2533,0.71073738
2532,0.71098523
2531,0.71143735
2530,0.71139816
2529,0.71147966
2528,0.71153505
2527,0.71216356
2526,0.71245918
2525,0.71287215
2524,0.71311966
2523,0.71323633
2522,0.71347786
2521,0.71401238
2520,0.71441024
2519,0.7145866
2518,0.71488934
2517,0.71504061
2516,0.71530815
2515,0.71567252
2514,0.71605919
2513,0.71630844
2512,0.71668211
2511,0.7168823
2510,0.71724746
2509,0.71755007
2508,0.71788925
2507,0.71818651
2506,0.7186572
2505,0.71916798
2504,0.71965208
2503,0.71997721
2502,0.72015419
2501,0.72044328
2500,0.72086948
2499,0.72117498
2498,0.72170105
2497,0.72187345
2496,0.72230861
2495,0.722795
2494,0.72297921
2493,0.72360526
2492,0.72409881
2491,0.7246329
2490,0.72498271
2489,0.72528764
2488,0.72580411
2487,0.72634873
2486,0.72678489
2485,0.72711639
2484,0.72762409
2483,0.72805561
2482,0.72854698
2481,0.72910325
2480,0.72969706
2479,0.73017372
2478,0.73039591
2477,0.73088323
2476,0.73146145
2475,0.73207954
2474,0.73261563
2473,0.73313833
2472,0.73377564
2471,0.73419304
2470,0.73471491
2469,0.73541146
2468,0.7360182
2467,0.73673367
2466,0.73730022
2465,0.73771488
2464,0.73834574
2463,0.73905251
2462,0.73965176
2461,0.74019702
2460,0.74069952
2459,0.74113913
2458,0.74166472
2457,0.74227388
2456,0.74304435
2455,0.74382803
2454,0.74437888
2453,0.744841
2452,0.74534795
2451,0.74592528
2450,0.74649589
2449,0.74699679
2448,0.74763717
2447,0.74812054
2446,0.74853156
2445,0.74915108
2444,0.74985037
2443,0.75030686
2442,0.75068432
2441,0.75124441
2440,0.75194004
2439,0.75265744
2438,0.75318465
2437,0.75350931
2436,0.75393059
2435,0.75438483
2434,0.75478057
2433,0.75523592
2432,0.75578413
2431,0.75641112
2430,0.75705268
2429,0.75772345
2428,0.75824859
2427,0.75852085
2426,0.75902011
2425,0.75979993
2424,0.76029308
2423,0.76059086
2422,0.76122403
2421,0.76188028
2420,0.76245226
2419,0.76290306
2418,0.76328858
2417,0.76385391
2416,0.76441839
2415,0.76509508
2414,0.76568587
2413,0.76609364
2412,0.76650044
2411,0.76702925
2410,0.76762165
2409,0.76826618
2408,0.76886914
2407,0.76944618
2406,0.77001662
2405,0.77059371
2404,0.77120007
2403,0.77174513
2402,0.77226631
2401,0.77285615
2400,0.77358618
2399,0.77431338
2398,0.77500806
2397,0.77559171
2396,0.77611975
2395,0.77673663
2394,0.77742265
2393,0.77810812
2392,0.77887461
2391,0.77966302
2390,0.78025641
2389,0.78071496
2388,0.78135264
2387,0.78201904
2386,0.78260847
2385,0.783166
2384,0.78361277
2383,0.78422021
2382,0.78491005
2381,0.78568899
2380,0.78640365
2379,0.7869987
2378,0.78739511
2377,0.78777551
2376,0.78840374
2375,0.78926629
2374,0.78989714
2373,0.79039575
2372,0.79086528
2371,0.79135734
2370,0.79184691
2369,0.79234643
2368,0.79286793
2367,0.79324929
2366,0.79381879
2365,0.79444045
2364,0.79480922
2363,0.79506433
2362,0.79539717
2361,0.795844
2360,0.79634057
2359,0.79674489
2358,0.79717637
2357,0.79763051
2356,0.79796196
2355,0.79820254
2354,0.79854677
2353,0.79907387
2352,0.79954583
2351,0.79987573
2350,0.8002327
2349,0.80072881
2348,0.80105024
2347,0.80139585
2346,0.80179071
2345,0.80191154
2344,0.80215142
2343,0.80239184
2342,0.80274225
2341,0.80311109
2340,0.80325034
2339,0.80331622
2338,0.80356107
2337,0.80394819
2336,0.8041611
2335,0.8044584
2334,0.80451428
2333,0.80458902
2332,0.80475848
2331,0.80506748
2330,0.80513238
2329,0.80538199
2328,0.80547295
2327,0.80561537
2326,0.80587521
2325,0.80601048
2324,0.80605294
2323,0.80621856
2322,0.80645771
2321,0.80637677
2320,0.80651538
2319,0.80664003
2318,0.80680722
2317,0.80699548
2316,0.80701437
2315,0.80708155
2314,0.8071245
2313,0.80727564
2312,0.80742818
2311,0.80761561
2310,0.80773609
2309,0.80788329
2308,0.8077773
2307,0.80778469
2306,0.80774188
2305,0.80765712
2304,0.80781643
2303,0.80775745
2302,0.80783659
2301,0.80791188
2300,0.80795443
2299,0.80781879
2298,0.80800043
2297,0.80796401
2296,0.8078517
2295,0.80775491
2294,0.80787057
2293,0.80798603
2292,0.80794701
2291,0.80795335
2290,0.80778593
2289,0.80771294
2288,0.80759983
2287,0.80747919
2286,0.8073938
2285,0.80734161
2284,0.80743583
2283,0.80756628
2282,0.80743433
2281,0.80752489
2280,0.80728932
2279,0.80713698
2278,0.80695881
2277,0.80691651
2276,0.80687075
2275,0.80688793
2274,0.80676952
2273,0.806462
2272,0.80651363
2271,0.80656378
2270,0.8065995
2269,0.80647159
2268,0.80633123
2267,0.80630126
2266,0.80608572
2265,0.80609901
2264,0.80610153
2263,0.80590852
2262,0.80585348
2261,0.80567404
2260,0.80519853
2259,0.8056095
2258,0.80551497
2257,0.80537449
2256,0.80532663
2255,0.80521285
2254,0.80525264
2253,0.80496121
2252,0.80484828
2251,0.80469806
2250,0.80465512
2249,0.80446055
2248,0.80448395
2247,0.80469563
2246,0.80453367
2245,0.80434233
2244,0.80437553
2243,0.8042322
2242,0.80420796
2241,0.80407605
2240,0.80396765
2239,0.80398219
2238,0.80426954
2237,0.80408919
2236,0.80401629
2235,0.80416276
2234,0.80407872
2233,0.80407266
2232,0.80413026
2231,0.80466604
2230,0.80437311
2229,0.8047153
2228,0.80469486
2227,0.80467569
2226,0.80486693
2225,0.80514114
2224,0.80551897
2223,0.80565175
2222,0.80575639
2221,0.80610173
2220,0.8063884
2219,0.80654172
2218,0.80718013
2217,0.80771373
2216,0.80764655
2215,0.8082165
2214,0.80831033
2213,0.80876958
2212,0.80925025
2211,0.80979626
2210,0.810182
2209,0.81070144
2208,0.81132588
2207,0.81206386
2206,0.81255259
2205,0.81295866
2204,0.81336353
2203,0.81400302
2202,0.81489682
2201,0.81550381
2200,0.81611623
2199,0.81675191
2198,0.81754277
2197,0.81795281
2196,0.81848777
2195,0.81938932
2194,0.82009959
2193,0.82074373
2192,0.82149504
2191,0.82188136
2190,0.82285389
2189,0.82338379
2188,0.82387568
2187,0.82462064
2186,0.825283
2185,0.82591161
2184,0.82690866
2183,0.82727933
2182,0.82790848
2181,0.82862185
2180,0.82941071
2179,0.82995851
2178,0.83060986
2177,0.83104377
2176,0.8316407
2175,0.83212546
2174,0.83253129
2173,0.83311231
2172,0.83360211
2171,0.83408721
2170,0.83495962
2169,0.83504647
2168,0.83525222
2167,0.83561495
2166,0.8360566
2165,0.83637486
2164,0.83643309
2163,0.83684204
2162,0.83697838
2161,0.83753387
2160,0.83771633
2159,0.83782062
2158,0.8380152
2157,0.83805451
2156,0.83841278
2155,0.83864821
2154,0.83880201
2153,0.83887605
2152,0.83937559
2151,0.83932921
2150,0.83930519
2149,0.83931145
2148,0.83937683
2147,0.83959761
2146,0.83957385
2145,0.83980719
2144,0.83997874
2143,0.84013426
2142,0.84022193
2141,0.8401533
2140,0.84035611
2139,0.84058847
2138,0.8405655
2137,0.84067096
2136,0.84074539
2135,0.84077634
2134,0.84098361
2133,0.84095422
2132,0.84090967
2131,0.84089009
2130,0.84105571
2129,0.84121945
2128,0.84140139
2127,0.84147338
2126,0.84149267
2125,0.84181958
2124,0.84183122
2123,0.84213873
2122,0.84239177
2121,0.84260573
2120,0.84292297
2119,0.84306471
2118,0.84335675
2117,0.84363261
2116,0.84393619
2115,0.84448325
2114,0.84487432
2113,0.84517838
2112,0.84563878
2111,0.84632876
2110,0.84692861
2109,0.84746548
2108,0.84795124
2107,0.84867708
2106,0.84940612
2105,0.84983077
2104,0.85049217
2103,0.85106152
2102,0.85172045
2101,0.85247884
2100,0.8530212
2099,0.85358661
2098,0.85401936
2097,0.85461747
2096,0.85548203
2095,0.85591148
2094,0.85629429
2093,0.85685284
2092,0.85749483
2091,0.8580573
2090,0.8585623
2089,0.85918298
2088,0.85978466
2087,0.86027039
2086,0.86083459
2085,0.86123284
2084,0.86193743
2083,0.8625091
2082,0.86305844
2081,0.86373653
2080,0.86417729
2079,0.86470828
2078,0.86525803
2077,0.86600613
2076,0.86659351
2075,0.86707252
2074,0.86757033
2073,0.86812941
2072,0.86865733
2071,0.86943701
2070,0.87020521
2069,0.87069192
2068,0.8711518
2067,0.87167021
2066,0.8720812
2065,0.87246468
2064,0.87287685
2063,0.87333391
2062,0.87396132
2061,0.87443801
2060,0.87488752
2059,0.87555657
2058,0.8759508
2057,0.87624659
2056,0.87646761
2055,0.87687605
2054,0.87705685
2053,0.87732985
2052,0.87782344
2051,0.87831907
2050,0.87863271
2049,0.87874365
2048,0.87909323
2047,0.87954598
2046,0.8796307
2045,0.87986661
2044,0.88041697
2043,0.8807001
2042,0.88092537
2041,0.88131188
2040,0.88143261
2039,0.88169748
2038,0.88183004
2037,0.8819585
2036,0.88218108
2035,0.88232223
2034,0.88250034
2033,0.88280767
2032,0.88316552
2031,0.88332905
2030,0.88360984
2029,0.88371111
2028,0.88376037
2027,0.88403547
2026,0.88421982
2025,0.88445404
2024,0.88456822
2023,0.88456179
2022,0.88476348
2021,0.88477052
2020,0.88483697
2019,0.88508516
2018,0.88520089
2017,0.88548946
2016,0.88574383
2015,0.88581424
2014,0.88593601
2013,0.88602553
2012,0.88633184
2011,0.8866915
2010,0.88672209
2009,0.88670439
2008,0.8868517
2007,0.88703872
2006,0.88708108
2005,0.887141
2004,0.88715955
2003,0.88733782
2002,0.8875541
2001,0.88767326
2000,0.88799623
1999,0.8882749
1998,0.88834294
1997,0.88842489
1996,0.88855585
1995,0.88872879
1994,0.88898297
1993,0.88911231
1992,0.88929379
1991,0.88950663
1990,0.88965328
1989,0.88959841
1988,0.88964738
1987,0.8898472
1986,0.88997102
1985,0.89026048
1984,0.89044282
1983,0.89043294
1982,0.89057179
1981,0.89066485
1980,0.89073807
1979,0.89097449
1978,0.89119554
1977,0.89129377
1976,0.89138347
1975,0.89164306
1974,0.89184486
1973,0.89189448
1972,0.89203225
1971,0.89217369
1970,0.89230966
1969,0.89233682
1968,0.89250596
1967,0.89272541
1966,0.89276348
1965,0.89307965
1964,0.8930587
1963,0.89311361
1962,0.89345413
1961,0.8935902
1960,0.89370515
1959,0.89395217
1958,0.89405579
1957,0.89399323
1956,0.89415594
1955,0.8944927
1954,0.8946079
1953,0.89487122
1952,0.89488067
1951,0.89495222
1950,0.8950237
1949,0.89520094
1948,0.89530553
1947,0.89538126
1946,0.89552922
1945,0.89563786
1944,0.89582081
1943,0.89582022
1942,0.89576645
1941,0.89594756
1940,0.8962193
1939,0.89674656
1938,0.89687441
1937,0.8968517
1936,0.89703117
1935,0.89698365
1934,0.89694588
1933,0.89752799
1932,0.89726693
1931,0.89761315
1930,0.8977619
1929,0.89756645
1928,0.89764519
1927,0.89772629
1926,0.89765349
1925,0.89775034
1924,0.89786258
1923,0.89810453
1922,0.89832877
1921,0.8985395
1920,0.89855079
1919,0.89875088
1918,0.89869295
1917,0.89891642
1916,0.89928619
1915,0.89947264
1914,0.899719
1913,0.89967347
1912,0.89922544
1911,0.89944119
1910,0.89946707
1909,0.89978002
1908,0.89998404
1907,0.90065755
1906,0.90065847
1905,0.90059713
1904,0.90044283
1903,0.90024093
1902,0.90037931
1901,0.90057164
1900,0.90097387
1899,0.9010827
1898,0.90106187
1897,0.90118477
1896,0.90111072
1895,0.90132217
1894,0.90195665
1893,0.90205815
1892,0.90213529
1891,0.90173114
1890,0.90175378
1889,0.90167569
1888,0.90175168
1887,0.90234886
1886,0.90200016
1885,0.90214445
1884,0.90245059
1883,0.90264225
1882,0.90286895
1881,0.90268757
1880,0.90312664
1879,0.9026134
1878,0.90337356
1877,0.90356381
1876,0.90364784
1875,0.90366593
1874,0.90365175
1873,0.90357806
1872,0.90370324
1871,0.90372331
1870,0.90372638
1869,0.90376373
1868,0.9037322
1867,0.9040127
1866,0.90419309
1865,0.90392626
1864,0.90453487
1863,0.90476545
1862,0.90478886
1861,0.90491211
1860,0.90511471
1859,0.90502234
1858,0.90523562
1857,0.90496064
1856,0.90532972
1855,0.90527079
1854,0.90564249
1853,0.90564377
1852,0.90574098
1851,0.90547153
1850,0.90571832
1849,0.9062285
1848,0.9061351
1847,0.90620861
1846,0.90594174
1845,0.90602668
1844,0.90581279
1843,0.90613775
1842,0.90684463
1841,0.90709561
1840,0.90669865
1839,0.90623599
1838,0.90658973
1837,0.90687631
1836,0.90679775
1835,0.90708137
1834,0.9069875
1833,0.90720223
1832,0.90657185
1831,0.90700143
1830,0.90791911
1829,0.90794783
1828,0.90802557
1827,0.90801897
1826,0.90821908
1825,0.90787982
1824,0.90822855
1823,0.90818967
1822,0.90868512
1821,0.9087478
1820,0.90883563
1819,0.90844728
1818,0.90861769
1817,0.90850919
1816,0.90878699
1815,0.90884298
1814,0.90905675
1813,0.90919539
1812,0.90932446
1811,0.90917665
1810,0.90928658
1809,0.9091165
1808,0.9096302
1807,0.90977588
1806,0.90990611
1805,0.90986022
1804,0.90996945
1803,0.91010318
1802,0.91029542
1801,0.90995357
1800,0.91046016
1799,0.91042897
1798,0.91056504
1797,0.91066263
1796,0.91083946
1795,0.91063345
1794,0.91060108
1793,0.91084156
1792,0.91095897
1791,0.91097078
1790,0.91126169
1789,0.91155852
1788,0.91151222
1787,0.9117966
1786,0.91192219
1785,0.91188396
1784,0.91188833
1783,0.91170241
1782,0.91180303
1781,0.91178712
1780,0.91216931
1779,0.91238435
1778,0.91230606
1777,0.91243979
1776,0.91229541
1775,0.91244099
1774,0.91260964
1773,0.91271402
1772,0.91265378
1771,0.91263064
1770,0.91285895
1769,0.91303543
1768,0.9130357
1767,0.91318143
1766,0.91353785
1765,0.91354039
1764,0.91354777
1763,0.91359813
1762,0.91361667
1761,0.91359852
1760,0.91355427
1759,0.91358568
1758,0.91373665
1757,0.91394895
1756,0.91383654
1755,0.91412186
1754,0.91420607
1753,0.91429698
1752,0.91456561
1751,0.91463422
1750,0.91475929
1749,0.91464143
1748,0.9147657
1747,0.91484615
1746,0.91483464
1745,0.91498805
1744,0.91506808
1743,0.91524573
1742,0.91515984
1741,0.9150356
1740,0.91510707
1739,0.91515611
1738,0.91527242
1737,0.91529525
1736,0.91529676
1735,0.91547353
1734,0.91556442
1733,0.91563935
1732,0.91585357
1731,0.91591049
1730,0.91587931
1729,0.91578356
1728,0.91593268
1727,0.91595776
1726,0.91598912
1725,0.91603125
1724,0.91605951
1723,0.91633046
1722,0.91626902
1721,0.9163796
1720,0.91658077
1719,0.91671701
1718,0.91674489
1717,0.91681858
1716,0.91688549
1715,0.91688879
1714,0.9169605
1713,0.91710348
1712,0.91726358
1711,0.91731617
1710,0.91743475
1709,0.91755813
1708,0.91750323
1707,0.91770437
1706,0.91792893
1705,0.91780316
1704,0.91784428
1703,0.9178729
1702,0.91799432
1701,0.91800214
1700,0.9179989
1699,0.91802768
1698,0.91812455
1697,0.91816065
1696,0.91820327
1695,0.91829846
1694,0.91835357
1693,0.91857672
1692,0.91874834
1691,0.91870288
1690,0.91873983
1689,0.91896088
1688,0.91906408
1687,0.91911366
1686,0.91903572
1685,0.91898288
1684,0.91898694
1683,0.9191394
1682,0.91924381
1681,0.91938737
1680,0.91938434
1679,0.91942365
1678,0.91957443
1677,0.91962781
1676,0.9196964
1675,0.91981225
1674,0.91984984
1673,0.91994767
1672,0.92006814
1671,0.92011195
1670,0.92018365
1669,0.92021802
1668,0.92013974
1667,0.92006053
1666,0.91999414
1665,0.92001962
1664,0.92014219
1663,0.92024485
1662,0.9202102
1661,0.92025524
1660,0.92046874
1659,0.92055241
1658,0.92041412
1657,0.92057867
1656,0.92066642
1655,0.92073036
1654,0.92092772
1653,0.92090126
1652,0.92089855
1651,0.92094539
1650,0.92120573
1649,0.92135927
1648,0.92134718
1647,0.9212389
1646,0.92141732
1645,0.92158139
1644,0.92152073
1643,0.92140641
1642,0.92132534
1641,0.92145741
1640,0.92162917
1639,0.92169142
1638,0.92145647
1637,0.92156695
1636,0.92194112
1635,0.92204757
1634,0.92189274
1633,0.9216037
1632,0.92157094
1631,0.92184028
1630,0.92204274
1629,0.92220861
1628,0.92228939
1627,0.92217265
1626,0.92222431
