nm,T
200,0.936409897
201,0.936669867
202,0.937159681
203,0.937662993
204,0.938133912
205,0.938562811
206,0.938944092
207,0.939271262
208,0.939569746
209,0.939828371
210,0.940053067
211,0.940249498
212,0.940442967
213,0.940623921
214,0.940801153
215,0.940960986
216,0.941124146
217,0.941282979
218,0.941450752
219,0.94160682
220,0.941763821
221,0.94192086
222,0.942080776
223,0.942229697
224,0.942385633
225,0.942533093
226,0.942678681
227,0.942820639
228,0.942949782
229,0.943072889
230,0.943209128
231,0.943347172
232,0.94348468
233,0.943620552
234,0.943749033
235,0.9438779
236,0.944018101
237,0.944151842
238,0.944275667
239,0.944401787
240,0.944532557
241,0.944664194
242,0.94480638
243,0.944938657
244,0.945065211
245,0.945192656
246,0.945310018
247,0.945405394
248,0.945510596
249,0.945611502
250,0.945712034
251,0.94581096
252,0.945898078
253,0.945977247
254,0.946079254
255,0.946169555
256,0.946249457
257,0.946326192
258,0.946396222
259,0.946467989
260,0.946554227
261,0.946621955
262,0.946687114
263,0.946749641
264,0.946799022
265,0.946841697
266,0.946886221
267,0.946922444
268,0.9469623
269,0.947001046
270,0.947042197
271,0.947090788
272,0.947155019
273,0.947224164
274,0.947294484
275,0.94736829
276,0.947442469
277,0.947511476
278,0.947589614
279,0.947657116
280,0.947723252
281,0.947783536
282,0.947834558
283,0.947880847
284,0.947945075
285,0.948003949
286,0.948074744
287,0.948141611
288,0.948213773
289,0.94828735
290,0.94837059
291,0.948436796
292,0.948502146
293,0.948563061
294,0.948620313
295,0.948665358
296,0.948721953
297,0.948777458
298,0.948838079
299,0.948893623
300,0.948943688
301,0.948986028
302,0.949048926
303,0.949113315
304,0.949170409
305,0.949224668
306,0.949290531
307,0.949345824
308,0.9494266
309,0.949478928
310,0.949510145
311,0.94953523
312,0.949535408
313,0.949511715
314,0.949490722
315,0.949435697
316,0.949398601
317,0.94937502
318,0.94935853
319,0.949371524
320,0.949392876
321,0.949426284
322,0.949462454
323,0.949504577
324,0.949537089
325,0.949556497
326,0.949580471
327,0.949610111
328,0.949625417
329,0.949677069
330,0.949720679
331,0.949760132
332,0.949824147
333,0.949880873
334,0.94993466
335,0.95000489
336,0.950053057
337,0.950077839
338,0.950115178
339,0.9501426
340,0.9501613
341,0.950192067
342,0.950221834
343,0.950234474
344,0.95028746
345,0.950337474
346,0.950372813
347,0.950418475
348,0.950450067
349,0.950449079
350,0.950471783
351,0.950472744
352,0.950470092
353,0.950494841
354,0.950514402
355,0.950520978
356,0.95057104
357,0.950611105
358,0.950641766
359,0.950684381
360,0.95070855
361,0.950718401
362,0.950755147
363,0.950770281
364,0.950782671
365,0.950824849
366,0.950855617
367,0.950875319
368,0.950917651
369,0.950954216
370,0.950994764
371,0.951034711
372,0.951043331
373,0.951043973
374,0.951060434
375,0.951076848
376,0.951088666
377,0.951084202
378,0.951093712
379,0.951120638
380,0.951154784
381,0.951193713
382,0.951220011
383,0.951227676
384,0.951255327
385,0.951260776
386,0.951249361
387,0.951250642
388,0.951245243
389,0.95122562
390,0.951231626
391,0.951235141
392,0.951254551
393,0.951302173
394,0.951339986
395,0.951359014
396,0.951401967
397,0.951426199
398,0.951432437
399,0.951441311
400,0.951432477
401,0.951404129
402,0.951399129
403,0.95138537
404,0.951382789
405,0.951408409
406,0.951427711
407,0.951431961
408,0.951455462
409,0.951470045
410,0.95148093
411,0.951495551
412,0.951494361
413,0.951474311
414,0.951476909
415,0.9514765
416,0.951472819
417,0.951478126
418,0.951476489
419,0.951459761
420,0.95147051
421,0.951474174
422,0.951480433
423,0.951503215
424,0.951528245
425,0.951538951
426,0.951573805
427,0.951597163
428,0.951612556
429,0.951634478
430,0.951646099
431,0.951634527
432,0.951645223
433,0.951648903
434,0.951652619
435,0.951668794
436,0.951669005
437,0.951651171
438,0.951650396
439,0.951640043
440,0.95162143
441,0.951613065
442,0.951605084
443,0.951595047
444,0.951604732
445,0.951619929
446,0.951645388
447,0.951683142
448,0.951703211
449,0.951709877
450,0.951734016
451,0.951756847
452,0.95177075
453,0.951779534
454,0.951786424
455,0.95179934
456,0.95182769
457,0.951843346
458,0.951856979
459,0.951882503
460,0.951899636
461,0.951899601
462,0.951909665
463,0.951910911
464,0.951919536
465,0.95194117
466,0.95195791
467,0.951976366
468,0.952011868
469,0.952030688
470,0.952045256
471,0.952063457
472,0.952058799
473,0.952031423
474,0.952010098
475,0.95198217
476,0.951959804
477,0.951954991
478,0.951943605
479,0.95192932
480,0.951933643
481,0.951932936
482,0.951939367
483,0.951957963
484,0.951951779
485,0.951936467
486,0.951945706
487,0.951946245
488,0.951940906
489,0.951943791
490,0.95193903
491,0.951936044
492,0.951943701
493,0.951943638
494,0.951962445
495,0.95200092
496,0.952018976
497,0.95203564
498,0.952078782
499,0.952110492
500,0.952128939
501,0.952152358
502,0.952167702
503,0.952177975
504,0.952181737
505,0.952169484
506,0.952183358
507,0.952216739
508,0.952214019
509,0.95219861
510,0.952213749
511,0.95224128
512,0.952262229
513,0.95226772
514,0.95226671
515,0.952294055
516,0.952330372
517,0.952335445
518,0.952343792
519,0.952380468
520,0.952408609
521,0.95241327
522,0.952405804
523,0.95240658
524,0.952434546
525,0.952450972
526,0.952423464
527,0.952403187
528,0.952422935
529,0.952446791
530,0.952450076
531,0.952435101
532,0.952420746
533,0.952438498
534,0.9524575
535,0.952434109
536,0.952405714
537,0.952408943
538,0.952421212
539,0.952426098
540,0.952408037
541,0.952380176
542,0.952392258
543,0.952431812
544,0.952437782
545,0.952417723
546,0.952407359
547,0.952421985
548,0.952465319
549,0.952488416
550,0.952457
551,0.952432831
552,0.95244473
553,0.952469551
554,0.952481878
555,0.952445669
556,0.952395039
557,0.95240025
558,0.952428234
559,0.952440438
560,0.952423758
561,0.952390001
562,0.952398623
563,0.952447823
564,0.952464716
565,0.952453021
566,0.952433322
567,0.952427921
568,0.952460847
569,0.952496439
570,0.952490201
571,0.952479742
572,0.95248301
573,0.952503216
574,0.952542417
575,0.952567393
576,0.952555691
577,0.952557794
578,0.952581867
579,0.952611053
580,0.952639248
581,0.952647537
582,0.952625697
583,0.952621267
584,0.952630376
585,0.952632763
586,0.952636754
587,0.952631119
588,0.952602672
589,0.952598601
590,0.952610029
591,0.952614644
592,0.952619222
593,0.952609659
594,0.952583304
595,0.952590314
596,0.952612202
597,0.952620959
598,0.952627367
599,0.952627662
600,0.952615757
601,0.952630928
602,0.952646229
603,0.952646896
604,0.95265701
605,0.952666732
606,0.952659795
607,0.952676487
608,0.952695712
609,0.952705668
610,0.952713919
611,0.952709043
612,0.95268582
613,0.952687598
614,0.95269057
615,0.952675852
616,0.952668167
617,0.952669092
618,0.952658161
619,0.952664606
620,0.9526699
621,0.952664406
622,0.952683743
623,0.952706993
624,0.952708238
625,0.952724462
626,0.952743017
627,0.952750176
628,0.952776328
629,0.952790101
630,0.952776658
631,0.95277504
632,0.952772234
633,0.95276241
634,0.952771057
635,0.952768268
636,0.952747837
637,0.952755156
638,0.952768525
639,0.952774849
640,0.952788468
641,0.952798735
642,0.952803349
643,0.952830118
644,0.952843846
645,0.952846366
646,0.95287099
647,0.952895172
648,0.952895563
649,0.952906616
650,0.95291322
651,0.952918243
652,0.952942011
653,0.952953442
654,0.952954422
655,0.952981205
656,0.952991636
657,0.952980709
658,0.952986658
659,0.952984742
660,0.95296924
661,0.952970977
662,0.952956672
663,0.952941117
664,0.952957068
665,0.95296053
666,0.952953292
667,0.952975188
668,0.952990082
669,0.95300231
670,0.953024577
671,0.953018848
672,0.953001225
673,0.953009496
674,0.953012967
675,0.953019554
676,0.953046222
677,0.953067416
678,0.953086838
679,0.953117325
680,0.95312456
681,0.953119543
682,0.953125862
683,0.953118289
684,0.953106797
685,0.953107774
686,0.953097806
687,0.953086978
688,0.953086619
689,0.953080327
690,0.953079473
691,0.953103994
692,0.953128706
693,0.953142253
694,0.953148499
695,0.953136719
696,0.953109007
697,0.953106214
698,0.953104461
699,0.953109308
700,0.953151108
701,0.953199195
702,0.953229637
703,0.953258768
704,0.953252877
705,0.953226499
706,0.953219026
707,0.953208141
708,0.953198261
709,0.953214869
710,0.953221087
711,0.953212748
712,0.953213237
713,0.953197337
714,0.953180216
715,0.953200999
716,0.953236908
717,0.953288288
718,0.953354744
719,0.953391716
720,0.953392899
721,0.953385073
722,0.95334773
723,0.953306224
724,0.953296092
725,0.953313986
726,0.95333901
727,0.953385451
728,0.953406042
729,0.953404572
730,0.953401371
731,0.953382098
732,0.95334885
733,0.953372034
734,0.95341716
735,0.953479381
736,0.953550555
737,0.9535884
738,0.953585157
739,0.953574594
740,0.953529647
741,0.953480423
742,0.953482566
743,0.953515431
744,0.953562948
745,0.953629828
746,0.953665418
747,0.953656687
748,0.953635439
749,0.953570584
750,0.953492851
751,0.953461454
752,0.953463033
753,0.953511144
754,0.953605404
755,0.953668187
756,0.953691517
757,0.953690737
758,0.953640324
759,0.953570357
760,0.953525976
761,0.953513634
762,0.953562004
763,0.953665816
764,0.953766775
765,0.953846505
766,0.95389429
767,0.953859428
768,0.953765131
769,0.953662312
770,0.953572641
771,0.953534031
772,0.953567972
773,0.953636529
774,0.953732021
775,0.953816286
776,0.953847086
777,0.953813533
778,0.953752109
779,0.953658029
780,0.953586652
781,0.953581156
782,0.953644469
783,0.95374887
784,0.953887072
785,0.953990366
786,0.954040956
787,0.954029168
788,0.953939273
789,0.953815927
790,0.953727171
791,0.953689347
792,0.953721912
793,0.953837208
794,0.953996982
795,0.954165949
796,0.954299638
797,0.954347006
798,0.954297311
799,0.954191842
800,0.954054618
801,0.953931161
802,0.953873966
803,0.953890292
804,0.953981006
805,0.954128212
806,0.954269713
807,0.954372564
808,0.954402033
809,0.954339387
810,0.954220426
811,0.954087892
812,0.953975529
813,0.953941404
814,0.953990422
815,0.954124279
816,0.954319775
817,0.954508185
818,0.954631822
819,0.954675892
820,0.954609686
821,0.954458117
822,0.954269705
823,0.954096127
824,0.953989034
825,0.953989628
826,0.954090317
827,0.954274917
828,0.954501034
829,0.954705849
830,0.954821027
831,0.954828495
832,0.954724294
833,0.954544942
834,0.95434401
